"item","water","fat","creamy","starch","sweet","sour","bitter","salty","planty","spicy","minty","floral","earthy","ocean","meaty","Europe","Wasia","Easia","SEAsia","SAsia","Mex","Africa","cooking_medium","seasoning","plant","nutseed","animal","carb","mushroom"
"soy_sauce",10,0,0,0,0,2,1,8,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"sauce",9,0,2,0,0,1,0,6,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"cream",9,6,9,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"coconut",9,6,9,1,3,1,1,0.2,0,0,0,0.1,0.5,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
"vinegar",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"water",10,0,0.3,0,0.6,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"salt",-1,0,0,0,0.2,0.2,-0.5,10,0,0,0,0,0.5,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"oil",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"olive_oil",0,10,0.5,0,0,0,3,0,0.5,0,0,0,0.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"peanut_oil",0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"sesame_oil",0,10,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lard",0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0
"ghee",0,10,3,0.3,0.5,0,0.1,0.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"butter",0,10,9,0.1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
"milk",8,1,5,0.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
"yogurt",0.7,5,9,0,1,2,0,0,0,0,0.1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
"egg",0.3,4,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"cheese",-1,5,5,0.5,0.1,4,1,4,0,0,0,0,0,0,0.5,1,1,0,0,1,1,0,0,0,0,0,1,0,0
"chicken",0,1,0,0.5,0,0,0.1,0,0,0,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"steak",0,2,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"pork",0,1,0,0,0,0.5,0.2,0,0,0,0,0,0,0.1,6,1,0,1,1,0,1,1,0,0,0,0,1,0,0
"lamb",0,3,2,0,1,0,0,0,0,0,0,0.1,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"shrimp",0,0,0,0,0.6,0,0,1,0,0,0,0,1,2,7,1,1,1,1,0,1,1,0,0,0,0,1,0,0
"salmon",0,7,2,0.5,1,0,0,1,0,0,0,0,0,1,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"tuna",0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"fish",0.3,0,0,0,0,0,0,1,0,0,0,0,0,4,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"clam",2,0,0,0,0,0,1,2,0,0,0,0,0,10,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"peanut",0,2,1,2,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"walnut",-3,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"cashew",0,2,1,2,1,0,0.5,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"almond",0,0,1,2,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"pumpkin_seed",-1,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"sunflower_seed",-1,2,1,2,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"sesame_seed",-1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"pecan",0,2,2,2,1.5,0,0.3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"wheat",-5,0,0,9,0,0,0.5,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"pasta",-5,0,1,9,1,0,0.1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"bread",0.5,1,1,8,1.5,0.5,0.1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
"rice",-5,0,0,8,1,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
