"English","Verb","Noun","Adj","Prepositions","Adv","Conjunctions","Determiners","QuestionStatement","Answer","PhrasesNum","Plural","AddSub","MultiplyDivide","ExpoLogarithm","Constant","Oscillate","ConDiverge","Fractal","Not","Intersection","GreaterLess","EqualOpposite","Function","System","OriginDestination","ForwardBack","LateralMiddle","UpDown","Time","Velocity","Energy","Sound","Mass","Length","Quantity","LightDark","Red","Green","Blue","Dense","Vescosity","SmoothRough","Poly","ConvexConcave","OpenClose","POV","CauseEffect","Vague","Information","Truth","Life","Water","Air","Fire","Earth","WoodMetal","Plant","Human","Bird","Fish","Reptile","Insect","Mammal","Happy","BirthDeath","Help","Advesary","MaleFem","Hand","Feet","Body","Head","Food","Disease","Necessity","GiveTake","Tool","Building","OrthodoxTaboo","ZealotModerate","WinLose","DomSub","PayFree","Totals"
"mix",1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,-2,2,5,0,0,1,0,5,1,0,0,0.8,-1,0,1,0.8,1,0.1,0.1,0,0.5,0,0,0,0,0.5,1,0.5,0,0,0,0,1,0,0,0,0,0.9,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,21.4
"change",1,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.1,-10,2,0,-0.1,0,0,0,-1,1,0,0,0,0,0,1,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-3.8
"dig",1,0,0,0,0,0,0,0,0,0,0,-1,0,-0.3,0,0.9,0,0,0,0,0,0,1,0,0,0,0.5,-3,1,1,2,0.6,1,0,1,0,2,2,0,2,1,-1,0,-10,2,0,0,-1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0.7,0.7,3,0,0,0,0.3,0,0,-1,0,0.3,0,0,0,0,0,13.7
"watering",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,0,0.5,0.5,0.1,0.3,0,0.8,0,0,0,10,0,-1,0,0,0,0,0,1,0,0,0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.6,0,0.9,1,0,0,0,0,0,0,0,33.2
"weed",1,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0.1,-3,0,0,0,0,0,1,1,0,0,0,-1,0,0.3,0.5,0,0.1,0.1,0.5,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.5,0.9,0,0,0,0,0,0,0,0,14
"level",1,0,0,0,0,0,0,0,0,0,0,-1,0,-3,9,0.6,5,0,0,0,0,10,1,0,-0.1,0,1,-1,0,0.1,0,0,0.7,0.8,0.5,0,0,0,0,0,0,1,0,-0.1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7
"remove",1,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0.1,0,0.5,0,0,1,0,0,0,0,-0.1,0,0.1,0,0,0,0,-0.5,0,0,0,0,0,0,0.1,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.1,0,0,0,0,0,0,-1,0,0,0,0,-0.1,0,0,-8.7
"make",1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-0.1,0.8,0,0,0,0,0,0,0.8,0,1,0,0,1,0,0,16.2
"put",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0.1,0.1,1,0,0.3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.6
"filter",1,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,2,-5,0,0,0.5,0,6,1,0,0,0,0,-1,0.1,0.1,0,0,0,0,-0.5,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
"germinate",1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1,0,0,0,0,0,0,0,1,-0.1,4,0,0,0,0,0.1,1,0,0,0,0.9,0,0,10,0,0,0,0.6,0,0,0,0,0,0,0,0,10,8,0,0,0,0,10,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,58.8
"planting",1,0,0,0,0,0,0,0,0,0,0.5,1,1,0,-0.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1,0.1,0.5,0,0,0,1,0,0,10,0,0,0,-0.5,0,0,0,0,0,0,0,0,10,7,0,0,0,0.1,10,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,50.2
"cut",1,0,0,0,0,0,0,0,0,0,0,-2,-3,-0.4,-0.2,2,-2,0.2,0,0,0,0,1,0,0,1,0,0,0,1,2,-0.1,0.5,2,-0.5,0,0,0,0,1,0.1,0.2,0,0,2,0,1,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,-0.1,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.2
"slash",1,0,0,0,0,0,0,0,0,0,0,-2,-3,-0.4,-0.2,0.7,-2,0.2,0,0,0,0,1,0,0,1,0,0,0,3,3,-0.1,0,0.5,-0.5,0,0,0,0,1,0.1,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,-0.1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.4
"grow",1,0,0,0,0,0,0,0,0,0,0.5,2,5,5,-2,0.1,0,0.5,0,0,0,0,0.5,-0.1,0,0,0,1,2,0.1,1,0,2,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0.1,1,1,1,1,1,1,1,0.7,2,0.6,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42.2
"harvest",1,0,0,0,0,0,0,0,0,0,0.5,6,0,0.5,-1,0.3,0,0,0,0,0,0,1,1,-3,0,1,0,1,0.1,1,0,1,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1,0,0,0,0,0,1,0,0.7,0,0,1,0,0,0,1,0,0,-5,0,0,0,0,0,0,0.1,15.7
"peal",1,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,-2,0,0,0.1,0,0,0,0,-0.3,0,0,0,0,0,0,0.2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0.2,0.1,0.1,0.1,1,0,0,0.5,0.5,-0.5,1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,9.3
"carry",1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,-1,1,1,1,0,1,1,0,1,0.5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0.1,0.1,0,0,0.1,0,1,2,1,1,1,1,1,-0.3,0,7,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7
"farm",1,0,0,0,0,0,0,0,0,0,0,3,0,0.5,0,2,0,-0.1,0,0,0,0,1,4,0,0,1,0,1,0.5,1,0,0,0.5,1,0,0,8,0,0,0,-0.4,0,0,0,0,1,0,0,0,0,5,0,0,3,0,1,8,0,0,0,0,0,0.1,1,1,0,0.7,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.1,47.8
"transplant",1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,-5,0,0,0,0,0,0,0,1,1,0,0.1,1,0.1,0,0.5,0,0,0,0,0.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,22.1
"erode",1,0,0,0,0,0,0,0,0,0,0,-9,0,0,-1,0,0,0.3,0,0,0,0,0,-0.1,0,0,0,-1,0,0.1,-0.5,0,0,0.5,-1,0,0,0,0,0,0,-0.3,0,-1,1,0,0,0,0,0,0,6,0,0,6,0,-3,0,0,0,0,0,0,-1,-4,0,0,0,0,0,0,0,0,0,0,0,-1,-3,0,0,-1,0,0.1,-11
"collect",1,0,0,0,0,0,0,0,0,0,1,6,2,0.5,0,0,3,0,0,0,0,0,1,0,0,0,-2,0.2,0,0.1,0,0,0,0.5,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,1,0,0,0,0,0,0,-5,0,0,0,0,1,0,0.1,10.1
